Easting,Northing
490029,4874396
490036,4874401
490038,4874406
490040,4874411
490038,4874419
490025,4874431
490021,4874434
490016,4874437
490006,4874442
490000,4874444
489987,4874451
489981,4874454
489969,4874459
489960,4874468
489958,4874482
489958,4874490
489960,4874495
489964,4874504
489969,4874510
489976,4874516
489983,4874522
489991,4874526
490000,4874530
490019,4874537
490028,4874541
490035,4874546
490053,4874560
490061,4874566
490070,4874572
490080,4874575
490091,4874577
490103,4874579
490115,4874578
490126,4874575
490137,4874569
490149,4874559
490160,4874550
490172,4874542
490184,4874535
490196,4874528
490208,4874521
490221,4874513
490234,4874506
490246,4874499
490257,4874492
490268,4874486
490279,4874480
490289,4874474
490301,4874468
490312,4874461
490323,4874455
490343,4874444
490352,4874439
490361,4874434
490380,4874429
490400,4874431
490411,4874435
490421,4874440
490444,4874450
490457,4874455
490468,4874460
490479,4874465
490487,4874470
490498,4874476
490507,4874480
490515,4874485
490523,4874488
490528,4874491
490534,4874494
490539,4874497
490548,4874501
490553,4874503
490558,4874505
490563,4874507
490569,4874509
490575,4874512
490581,4874513
490590,4874514
490599,4874515
490608,4874516
490619,4874518
490655,4874523
490681,4874526
490709,4874527
490723,4874526
490737,4874525
490750,4874523
490761,4874521
490772,4874519
490782,4874517
490791,4874516
490798,4874518
490805,4874521
490810,4874526
490816,4874531
490820,4874537
490825,4874554
490822,4874575
490818,4874590
490811,4874610
490811,4874632
490811,4874644
490823,4874667
490832,4874676
490842,4874684
490853,4874691
490865,4874697
490878,4874699
490890,4874700
490906,4874695
490920,4874691
490934,4874688
490947,4874687
490960,4874686
490974,4874687
490986,4874689
490998,4874693
491008,4874701
491019,4874708
491027,4874717
491035,4874727
491043,4874739
491064,4874774
491073,4874789
491091,4874809
491110,4874834
491121,4874848
491128,4874858
491137,4874871
491148,4874885
491156,4874895
491163,4874905
491168,4874912
491174,4874920
491178,4874927
491183,4874936
491187,4874942
491192,4874946
491198,4874949
491214,4874949
491238,4874950
491244,4874949
491253,4874949
491259,4874949
491274,4874950
491287,4874951
491292,4874952
491299,4874961
491302,4874974
491302,4874982
491302,4874990
491301,4875024
491302,4875080
491304,4875089
491304,4875107
491303,4875141
491304,4875186
491304,4875194
491303,4875228
491302,4875246
491303,4875291
491303,4875300
491303,4875342
491304,4875358
491305,4875374
491304,4875429
491304,4875454
491304,4875502
491304,4875517
491303,4875531
491304,4875537
491307,4875543
491312,4875546
491317,4875547
491330,4875547
491376,4875545
491411,4875545
491417,4875547
491422,4875549
491426,4875557
491428,4875581
491428,4875587
491433,4875637
491435,4875649
491435,4875655
491436,4875664
491436,4875675
491436,4875685
491436,4875689
491437,4875706
491434,4875734
491434,4875738
491434,4875750
491434,4875769
491434,4875785
491434,4875813
491434,4875858
491436,4875906
491434,4875960
491434,4875978
491434,4876006
491436,4876049
491436,4876057
491433,4876097
491433,4876104
491433,4876127
491433,4876189
491434,4876198
491438,4876205
491443,4876209
491450,4876211
491464,4876211
491503,4876208
491534,4876206
491538,4876208
491544,4876214
491546,4876224
491546,4876235
491546,4876274
491546,4876324
491546,4876330
491547,4876343
491547,4876353
491547,4876362
491545,4876396
491545,4876422
491545,4876442
491545,4876475
491544,4876516
491544,4876523
491548,4876533
491557,4876538
491562,4876537
491568,4876536
491602,4876532
491653,4876531
491703,4876531
491715,4876531
491726,4876533
491732,4876536
491736,4876540
491741,4876552
491745,4876591
491749,4876603
491759,4876619
491781,4876656
491786,4876659
491791,4876661
491801,4876664
491805,4876667
491809,4876672
491820,4876684
491825,4876687
491830,4876689
491847,4876690
491897,4876690
491940,4876687
491973,4876687
491979,4876688
491991,4876688
492009,4876687
492015,4876687
492038,4876690
492088,4876691
492152,4876689
492190,4876689
492226,4876685
492270,4876686
492313,4876686
492352,4876685
492358,4876685
492364,4876686
492395,4876686
492443,4876685
492451,4876686
492475,4876687
492482,4876688
492506,4876688
492544,4876690
492563,4876689
492577,4876688
492580,4876688
492600,4876687
492635,4876687
492644,4876688
492677,4876688
492689,4876687
492710,4876685
492739,4876686
492777,4876684
492797,4876684
492806,4876684
492850,4876685
492877,4876685
492890,4876684
492922,4876684
492927,4876686
492929,4876689
492930,4876695
492930,4876743
492932,4876796
492931,4876861
492931,4876868
492931,4876903
492931,4876940
492931,4876987
492930,4877051
492930,4877116
492929,4877146
492929,4877163
492929,4877172
492930,4877190
492930,4877224
492932,4877264
492933,4877299
492933,4877352
492933,4877399
492934,4877430
492933,4877456
492933,4877516
492934,4877578
492935,4877611
492934,4877646
492933,4877649
492932,4877648
492935,4877666
492941,4877675
492943,4877685
492944,4877726
492944,4877766
492944,4877772
492944,4877774
492945,4877777
492946,4877783
492944,4877798
492945,4877801
492945,4877821
492943,4877869
492943,4877918
492943,4877966
492943,4877990
492942,4878012
492943,4878023
492951,4878029
492957,4878029
492996,4878029
493055,4878029
493063,4878029
493090,4878028
493098,4878027
493115,4878024
493131,4878021
493137,4878022
493151,4878025
493163,4878031
493179,4878041
493187,4878050
493192,4878060
493194,4878071
493192,4878081
493190,4878086
493189,4878092
493190,4878106
493192,4878110
493198,4878117
493203,4878124
493208,4878141
493210,4878145
493216,4878153
493224,4878158
493232,4878163
493264,4878177
493302,4878196
493352,4878219
493368,4878230
493372,4878235
493374,4878243
493373,4878250
493373,4878257
493368,4878270
493361,4878279
493357,4878280
493346,4878280
493342,4878282
493340,4878285
493337,4878289
493332,4878305
493331,4878310
493326,4878321
493321,4878331
493314,4878342
493309,4878345
493302,4878352
493295,4878362
493269,4878391
493252,4878413
493237,4878438
493233,4878441
493204,4878466
493169,4878493
493126,4878522
493121,4878526
493099,4878543
493062,4878564
493030,4878582
493019,4878592
492987,4878622
492969,4878639
492959,4878646
492955,4878650
492929,4878665
492881,4878687
492829,4878712
492775,4878734
492741,4878746
492719,4878755
492678,4878771
492619,4878793
492557,4878805
492550,4878806
492496,4878824
492441,4878845
492394,4878864
492349,4878882
492309,4878901
492266,4878915
492211,4878921
492170,4878926
492154,4878930
492139,4878932
492101,4878943
492056,4878969
492029,4878986
492017,4878992
491961,4879014
491928,4879026
491916,4879029
491898,4879029
491885,4879033
491839,4879053
491789,4879076
491729,4879103
491715,4879109
491674,4879127
491621,4879153
491591,4879166
491566,4879177
491510,4879204
491462,4879215
491450,4879222
491439,4879230
491429,4879238
491419,4879253
491410,4879259
491400,4879263
491360,4879279
491354,4879281
491316,4879298
491273,4879321
491238,4879344
491232,4879348
491226,4879353
491203,4879365
491168,4879388
491151,4879401
491138,4879409
491104,4879437
491096,4879444
491080,4879455
491069,4879463
491049,4879483
491014,4879527
490983,4879573
490964,4879603
490963,4879609
490963,4879615
490966,4879633
490966,4879639
490966,4879652
490970,4879665
490979,4879677
490990,4879686
491012,4879706
491016,4879712
491021,4879724
491022,4879731
491023,4879757
491021,4879764
491020,4879771
491008,4879829
490995,4879872
490992,4879878
490991,4879885
490987,4879916
490988,4879944
490992,4879957
491002,4879966
491008,4879970
491025,4879981
491034,4879989
491039,4879994
491056,4880015
491059,4880020
491070,4880046
491083,4880090
491095,4880141
491098,4880153
491099,4880165
491098,4880170
491095,4880176
491084,4880193
491075,4880203
491057,4880212
491045,4880213
491038,4880211
490988,4880192
490955,4880178
490942,4880172
490929,4880168
490908,4880166
490896,4880167
490885,4880171
490879,4880181
490878,4880186
490879,4880191
490883,4880209
490895,4880254
490902,4880286
490905,4880305
490910,4880331
490910,4880344
490910,4880352
490907,4880377
490906,4880427
490905,4880458
490902,4880465
490897,4880480
490896,4880494
490895,4880522
490893,4880544
490891,4880568
490886,4880597
490885,4880604
490887,4880617
490888,4880622
490890,4880635
490890,4880654
490882,4880692
490867,4880746
490852,4880798
490830,4880854
490805,4880916
490777,4880974
490770,4880986
490743,4881033
490714,4881088
490703,4881107
490678,4881156
490658,4881191
490643,4881213
490638,4881225
490617,4881284
490595,4881345
490583,4881410
490583,4881417
490585,4881423
490588,4881446
490592,4881490
490589,4881505
490584,4881532
490585,4881580
490587,4881635
490592,4881674
490601,4881728
490620,4881772
490647,4881832
490650,4881838
490663,4881865
490666,4881870
490674,4881880
490691,4881901
490693,4881906
490692,4881916
490693,4881925
490695,4881929
490696,4881933
490699,4881937
490708,4881949
490716,4881969
490721,4881980
490735,4881999
490742,4882009
490754,4882021
490762,4882028
490772,4882031
490786,4882034
490799,4882036
490802,4882031
490802,4882027
490798,4882019
490794,4882016
490780,4882010
490766,4882018
490759,4882023
490748,4882035
490744,4882038
490741,4882041
490735,4882048
490721,4882063
490695,4882088
490672,4882111
490663,4882118
490635,4882144
490624,4882149
490618,4882150
490612,4882148
490592,4882141
490571,4882130
490556,4882123
490542,4882116
490536,4882113
490523,4882109
490504,4882108
490487,4882108
490482,4882108
490447,4882110
490395,4882110
490338,4882111
490288,4882111
490281,4882110
490236,4882110
490174,4882109
490167,4882109
490121,4882110
490074,4882110
490033,4882110
490026,4882110
489971,4882112
489926,4882112
489887,4882110
489877,4882113
489873,4882116
489870,4882121
489867,4882133
489856,4882173
489842,4882226
489825,4882283
489808,4882343
489803,4882358
489785,4882420
489780,4882435
489767,4882482
489763,4882499
489747,4882560
489736,4882608
489724,4882650
489719,4882670
489716,4882682
489709,4882702
489706,4882710
489706,4882711
489704,4882718
489698,4882738
489697,4882743
489688,4882767
489675,4882800
489655,4882858
489638,4882903
489620,4882961
489601,4883025
489599,4883031
489586,4883075
489568,4883134
489552,4883189
489546,4883208
489539,4883226
489535,4883239
489523,4883262
489509,4883297
489494,4883347
489487,4883365
489483,4883369
489479,4883373
489468,4883377
489437,4883376
489383,4883376
489376,4883376
489319,4883376
489251,4883376
489237,4883376
489177,4883376
489119,4883376
489054,4883376
489046,4883377
488985,4883377
488977,4883377
488911,4883377
488847,4883376
488792,4883376
488724,4883376
488702,4883377
488641,4883377
488575,4883377
488567,4883377
488509,4883378
488443,4883378
488377,4883379
488370,4883379
488304,4883380
488297,4883380
488239,4883379
488173,4883379
488108,4883378
488086,4883378
488034,4883378
487970,4883374
487941,4883372
487876,4883365
487811,4883359
487805,4883358
487747,4883355
487688,4883353
487623,4883353
487608,4883354
487587,4883354
487531,4883354
487465,4883355
487451,4883355
487391,4883354
487343,4883354
487320,4883355
487316,4883355
487312,4883355
487297,4883355
487268,4883355
487224,4883355
487178,4883357
487114,4883358
487101,4883358
487068,4883358
487023,4883358
487005,4883359
487001,4883359
487001,4883358
487001,4883358
486998,4883358
486990,4883358
486983,4883358
486979,4883359
486974,4883359
486968,4883359
486922,4883359
486874,4883358
486825,4883358
486818,4883357
486811,4883357
486783,4883358
486723,4883359
486701,4883359
486643,4883360
486593,4883363
486529,4883363
486467,4883362
486431,4883360
486425,4883359
486421,4883357
486412,4883349
486409,4883345
486389,4883321
486381,4883305
486381,4883301
486381,4883301
486381,4883301
486381,4883300
486381,4883300
486383,4883302
486383,4883302
486383,4883302
486383,4883302
486381,4883301
486381,4883301
486390,4883312
486413,4883332
486417,4883339
486418,4883347
486415,4883355
486412,4883357
486405,4883360
486395,4883361
486350,4883362
486338,4883363
486314,4883363
486297,4883362
486271,4883360
486262,4883360
486238,4883360
486238,4883360
486232,4883359
486228,4883359
